도서관명,시도명,시군구명,위도,경도
도림동공립작은도서관,서울특별시,영등포구,37.509967,126.9080504
당산2동공립작은도서관,서울특별시,영등포구,37.5347082,126.9020869
당산1동공립작은도서관,서울특별시,영등포구,37.523058,126.898464
여의동공립작은도서관,서울특별시,영등포구,37.517658,126.9346142
영등포동공립작은도서관,서울특별시,영등포구,37.52510043,126.9032996
청소년문화의집공립작은도서관,서울특별시,영등포구,37.51365785,126.9170766
영등포본동공립작은도서관,서울특별시,영등포구,37.514649,126.9093387
구민회관공립작은도서관,서울특별시,영등포구,37.52601008,126.9001117
여의샛강마을도서관,서울특별시,영등포구,37.5221797,126.9199179
선유도서관,서울특별시,영등포구,37.53333074,126.892938
문래도서관,서울특별시,영등포구,37.51685495,126.8908938
대림도서관,서울특별시,영등포구,37.50431765,126.8960782
목화마을공립작은도서관,서울특별시,영등포구,37.51898057,126.8862787
대림3동공립작은도서관,서울특별시,영등포구,37.498301,126.8980362
대림2동공립작은도서관,서울특별시,영등포구,37.49273981,126.8982518
대림1동공립작은도서관,서울특별시,영등포구,37.49545723,126.905842
신길7동공립작은도서관,서울특별시,영등포구,37.506385,126.9215136
신길6동공립작은도서관,서울특별시,영등포구,37.49920238,126.9124289
신길5동공립작은도서관,서울특별시,영등포구,37.501614,126.9052198
신길4동공립작은도서관,서울특별시,영등포구,37.508428,126.911278
신길3동공립작은도서관,서울특별시,영등포구,37.507285,126.9077506
신길1동공립작은도서관,서울특별시,영등포구,37.511135,126.9214408
양평2동공립작은도서관,서울특별시,영등포구,37.53650136,126.8940377
양평1동공립작은도서관,서울특별시,영등포구,37.523615,126.8882277
문래동공립작은도서관,서울특별시,영등포구,37.5155327,126.8913572
